,Birth Rate,Business Tax Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
192,0.02,0.436,8.0,4058.0,33270500000.0,0.079,33270500000.0,482.0,0.016,0.4,0.069,80.0,74.0,1.8,0.29,0.641,0.069,0.654,The Americas,Panama
193,0.024,0.35,35.0,4858.0,25071193102.0,0.089,25071193102.0,387.0,0.02,0.2,0.174,74.0,70.0,1.0,0.331,0.616,0.053,0.587,The Americas,Paraguay
194,0.02,0.366,25.0,20582.0,170563949736.0,0.047,170563949736.0,309.0,0.014,0.4,0.187,77.0,72.0,1.1,0.296,0.643,0.061,0.773,The Americas,Peru
195,0.011,0.631,6.0,10675.0,100351670000.0,0.068,100351670000.0,218.0,0.014,0.5,0.109,82.0,75.0,0.8,0.201,0.666,0.132,0.938,The Americas,Puerto Rico
196,0.017,0.41200000000000003,19.0,10675.0,23812444721.5,0.068,23812444721.5,245.0,0.014,0.4,0.109,77.0,72.0,1.0,0.272,0.651,0.07,1.0,The Americas,Sint Maarten (Dutch part)
197,0.017,0.525,19.0,10675.0,728148148.0,0.058,728148148.0,203.0,0.008,0.8,0.094,77.0,72.0,1.5,0.272,0.651,0.07,0.318,The Americas,St. Kitts and Nevis
198,0.016,0.344,15.0,10675.0,1295925926.0,0.076,1295925926.0,92.0,0.013,0.5,0.1,77.0,72.0,1.2,0.248,0.666,0.086,0.185,The Americas,St. Lucia
199,0.017,0.41200000000000003,19.0,10675.0,23812444721.5,0.068,23812444721.5,245.0,0.014,0.4,0.109,82.0,76.0,1.0,0.272,0.651,0.07,0.7065,The Americas,St. Martin (French part)
200,0.017,0.387,10.0,10675.0,677037037.0,0.049,677037037.0,111.0,0.018,0.4,0.091,74.0,70.0,1.2,0.261,0.671,0.068,0.491,The Americas,St. Vincent and the Grenadines
201,0.018,0.27899999999999997,694.0,10675.0,4363219094.0,0.06,4363219094.0,199.0,0.022,0.3,0.118,74.0,67.0,1.0,0.283,0.652,0.065,0.663,The Americas,Suriname
202,0.015,0.29100000000000004,41.0,20918.0,23676348287.0,0.053,23676348287.0,210.0,0.02,0.6,0.08,73.0,66.0,1.4,0.207,0.708,0.085,0.089,The Americas,Trinidad and Tobago
203,0.017,0.41200000000000003,19.0,10675.0,23812444721.5,0.068,23812444721.5,245.0,0.014,0.4,0.109,77.0,72.0,1.0,0.272,0.651,0.07,0.907,The Americas,Turks and Caicos Islands
204,0.013,0.465,5.0,2191193.0,15533800000000.0,0.177,15533800000000.0,187.0,0.006,0.7,0.033,81.0,76.0,0.9,0.197,0.669,0.133,0.809,The Americas,United States
205,0.015,0.419,7.0,4430.0,47236710623.0,0.088,47236710623.0,336.0,0.01,0.5,0.098,80.0,73.0,1.4,0.223,0.638,0.139,0.946,The Americas,Uruguay
206,0.02,0.628,141.0,70198.0,316482176579.0,0.045,316482176579.0,864.0,0.014,0.4,0.172,77.0,71.0,1.0,0.291,0.651,0.058,0.888,The Americas,"Venezuela, RB"
207,0.011,0.41200000000000003,19.0,10675.0,23812444721.5,0.068,23812444721.5,245.0,0.014,0.4,0.109,83.0,76.0,1.0,0.206,0.649,0.145,0.948,The Americas,Virgin Islands (U.S.)
